#{"t_start": 1595746395.970126, "env_id": "Hopper-v3"}
r,l,t
-0.003954,10,4.223451
-0.082729,35,4.277735
0.046316,10,4.293095
-0.001156,15,4.316872
-0.005536,17,4.346721
0.029519,15,4.368345
-0.039735,19,4.39711
-0.035686,13,4.418972
-0.07679,22,4.452774
-0.025775,15,4.476426
-0.120291,57,4.568725
-0.055802,17,4.595312
-0.020501,17,4.617803
0.228596,70,4.716216
-0.119693,34,4.772677
-0.039858,21,4.811487
-0.080614,23,4.88756
0.042171,16,4.992799
-0.010357,16,5.035158
-0.043939,27,5.157637
0.022996,43,5.269384
-0.083913,32,5.354428
-0.000775,14,5.393416
-0.053947,29,5.527293
-0.171255,63,5.720393
0.01999,19,5.77931
-0.106589,47,5.865568
-0.052214,28,5.921669
0.009976,15,5.94974
-0.152654,42,6.012959
-0.017195,10,6.030114
-0.088832,26,6.085436
-0.015772,14,6.114909
-0.110224,30,6.162923
-0.083841,30,6.213438
-0.00856,14,6.237262
-0.102368,26,6.272452
-0.128489,33,6.324324
-0.081164,32,7.228885
-0.021971,20,7.40178
-0.022678,12,7.496399
-0.017886,9,7.572922
-0.02583,10,7.655561
-0.025705,10,7.776378
-0.021207,15,8.002894
-0.022799,19,8.200096
-0.024125,19,8.365144
-0.024277,19,8.553163
-0.041002,21,8.738829
-0.079565,25,8.972725
-0.0548,23,9.187593
-0.100951,28,9.424317
-0.05836,23,9.668231
-0.131708,33,10.017899
-0.127476,33,10.320142
-0.124583,32,10.588657
-0.169863,41,10.926701
-0.164026,39,11.260435
-0.184033,43,11.660608
-0.213824,50,12.135587
-0.194181,45,12.499248
-0.346113,82,13.174187
-0.1976,46,13.535151
-1.029921,291,15.981014
-0.155179,67,16.562202
-0.142533,61,17.155016
-0.127003,58,17.629478
-0.003306,47,17.997932
-0.080319,47,18.362085
-0.091923,55,18.79948
-0.127764,59,19.375642
-0.036925,43,19.781989
0.063997,45,20.142509
-0.024032,33,20.407967
0.014579,41,20.831971
0.022273,32,21.096347
0.061169,53,21.567385
0.033419,46,21.948472
0.043062,50,22.431378
-0.011559,37,22.733201
0.036433,52,23.152568
