loss: 2.361409 (l2_loss: 0.009455), valid_loss: 3.167707
loss: 2.743669 (l2_loss: 0.008861), valid_loss: 3.458855
loss: 2.920818 (l2_loss: 0.008382), valid_loss: 3.034523
loss: 2.274170 (l2_loss: 0.008015), valid_loss: 2.473017
loss: 2.808507 (l2_loss: 0.007763), valid_loss: 2.003583
loss: 2.188792 (l2_loss: 0.007622), valid_loss: 1.730348
loss: 2.372851 (l2_loss: 0.007591), valid_loss: 2.405677
loss: 2.061000 (l2_loss: 0.007672), valid_loss: 2.079960
loss: 1.980479 (l2_loss: 0.007866), valid_loss: 1.716769
loss: 1.694250 (l2_loss: 0.008172), valid_loss: 1.807073
loss: 0.450646 (l2_loss: 0.034830), valid_loss: 0.450175
loss: 0.380498 (l2_loss: 0.038681), valid_loss: 0.396869
loss: 0.238186 (l2_loss: 0.046559), valid_loss: 0.216089
loss: 0.152894 (l2_loss: 0.053696), valid_loss: 0.156958
loss: 0.077910 (l2_loss: 0.055213), valid_loss: 0.090671
loss: 0.063176 (l2_loss: 0.053734), valid_loss: 0.078475
loss: 0.048125 (l2_loss: 0.051742), valid_loss: 0.053523
loss: 0.059136 (l2_loss: 0.048932), valid_loss: 0.044291
loss: 0.049694 (l2_loss: 0.046402), valid_loss: 0.062367
loss: 0.045087 (l2_loss: 0.044886), valid_loss: 0.032249
loss: 0.035283 (l2_loss: 0.042905), valid_loss: 0.034576
loss: 0.040416 (l2_loss: 0.042211), valid_loss: 0.030441
loss: 0.038167 (l2_loss: 0.041391), valid_loss: 0.037806
loss: 0.027033 (l2_loss: 0.039468), valid_loss: 0.031018
loss: 0.041042 (l2_loss: 0.039878), valid_loss: 0.026894
loss: 0.021639 (l2_loss: 0.038545), valid_loss: 0.030579
loss: 0.034310 (l2_loss: 0.037352), valid_loss: 0.046236
loss: 0.023813 (l2_loss: 0.037241), valid_loss: 0.048955
loss: 0.021322 (l2_loss: 0.036971), valid_loss: 0.026747
loss: 0.021471 (l2_loss: 0.036435), valid_loss: 0.030924
loss: 0.024047 (l2_loss: 0.035596), valid_loss: 0.035624
loss: 0.037535 (l2_loss: 0.035190), valid_loss: 0.047022
loss: 0.032581 (l2_loss: 0.035041), valid_loss: 0.027823
loss: 0.027567 (l2_loss: 0.034786), valid_loss: 0.025471
loss: 0.043993 (l2_loss: 0.033977), valid_loss: 0.029331
loss: 0.041902 (l2_loss: 0.034102), valid_loss: 0.028110
loss: 0.029476 (l2_loss: 0.033224), valid_loss: 0.034541
loss: 0.025487 (l2_loss: 0.033757), valid_loss: 0.023943
loss: 0.027215 (l2_loss: 0.033039), valid_loss: 0.030872
loss: 2.288622 (l2_loss: 0.009519), valid_loss: 2.934593
loss: 2.313444 (l2_loss: 0.008943), valid_loss: 2.778638
loss: 2.699668 (l2_loss: 0.008492), valid_loss: 1.909423
loss: 1.676572 (l2_loss: 0.008170), valid_loss: 1.594328
loss: 2.196816 (l2_loss: 0.007967), valid_loss: 1.669603
loss: 1.322978 (l2_loss: 0.007884), valid_loss: 2.236328
loss: 2.630259 (l2_loss: 0.007923), valid_loss: 2.528851
loss: 1.935767 (l2_loss: 0.008061), valid_loss: 2.222042
loss: 2.431853 (l2_loss: 0.008322), valid_loss: 2.507020
loss: 1.432663 (l2_loss: 0.008701), valid_loss: 1.416433
loss: 0.386523 (l2_loss: 0.038882), valid_loss: 0.292357
loss: 0.295438 (l2_loss: 0.039664), valid_loss: 0.258034
loss: 0.202301 (l2_loss: 0.048097), valid_loss: 0.133572
loss: 0.109618 (l2_loss: 0.051849), valid_loss: 0.128046
loss: 0.086692 (l2_loss: 0.052173), valid_loss: 0.060720
loss: 0.061561 (l2_loss: 0.050091), valid_loss: 0.052760
loss: 0.062794 (l2_loss: 0.047207), valid_loss: 0.045975
loss: 0.029361 (l2_loss: 0.045911), valid_loss: 0.036352
loss: 0.031890 (l2_loss: 0.043967), valid_loss: 0.036059
loss: 0.032074 (l2_loss: 0.041775), valid_loss: 0.037038
loss: 0.038030 (l2_loss: 0.040738), valid_loss: 0.030658
loss: 0.036929 (l2_loss: 0.040084), valid_loss: 0.042675
loss: 0.052109 (l2_loss: 0.037969), valid_loss: 0.055983
loss: 0.035960 (l2_loss: 0.037766), valid_loss: 0.051846
loss: 0.047056 (l2_loss: 0.036902), valid_loss: 0.026647
loss: 0.027654 (l2_loss: 0.035958), valid_loss: 0.029205
loss: 0.026683 (l2_loss: 0.035471), valid_loss: 0.041970
loss: 0.037610 (l2_loss: 0.035705), valid_loss: 0.032942
