loss: 3.917953 (l2_loss: 0.009447), valid_loss: 3.297377
loss: 2.571513 (l2_loss: 0.008951), valid_loss: 2.770847
loss: 2.953430 (l2_loss: 0.008550), valid_loss: 3.305080
loss: 2.157600 (l2_loss: 0.008255), valid_loss: 1.894596
loss: 2.705134 (l2_loss: 0.008068), valid_loss: 2.694519
loss: 2.093755 (l2_loss: 0.007987), valid_loss: 2.303907
loss: 2.698413 (l2_loss: 0.008014), valid_loss: 2.205409
loss: 1.991981 (l2_loss: 0.008145), valid_loss: 2.101137
loss: 2.938368 (l2_loss: 0.008387), valid_loss: 2.173539
loss: 1.955240 (l2_loss: 0.008722), valid_loss: 1.920304
loss: 0.382237 (l2_loss: 0.033114), valid_loss: 0.401309
loss: 0.293067 (l2_loss: 0.049946), valid_loss: 0.267495
loss: 0.100785 (l2_loss: 0.054676), valid_loss: 0.161753
loss: 0.060760 (l2_loss: 0.052023), valid_loss: 0.084335
loss: 0.046862 (l2_loss: 0.045771), valid_loss: 0.077026
loss: 0.047077 (l2_loss: 0.042109), valid_loss: 0.060611
loss: 0.049339 (l2_loss: 0.038522), valid_loss: 0.041579
loss: 0.040592 (l2_loss: 0.036540), valid_loss: 0.062564
loss: 0.056866 (l2_loss: 0.034075), valid_loss: 0.054101
loss: 0.038357 (l2_loss: 0.032959), valid_loss: 0.042307
loss: 0.030003 (l2_loss: 0.032160), valid_loss: 0.048650
loss: 0.061117 (l2_loss: 0.031645), valid_loss: 0.044686
loss: 0.047830 (l2_loss: 0.029811), valid_loss: 0.044818
loss: 0.034658 (l2_loss: 0.029822), valid_loss: 0.026271
loss: 0.037222 (l2_loss: 0.028648), valid_loss: 0.042271
loss: 0.041174 (l2_loss: 0.027754), valid_loss: 0.037968
loss: 0.024829 (l2_loss: 0.027254), valid_loss: 0.033359
loss: 0.049262 (l2_loss: 0.026368), valid_loss: 0.046049
loss: 0.034346 (l2_loss: 0.026412), valid_loss: 0.031889
loss: 0.033404 (l2_loss: 0.026066), valid_loss: 0.032946
loss: 0.030221 (l2_loss: 0.025436), valid_loss: 0.051097
loss: 0.032449 (l2_loss: 0.025218), valid_loss: 0.028791
