****************
acc: 0.8878
****************
loss: 0.593320 (l2_loss: 0.279645), acc: 0.875000, valid_acc: 0.890625
loss: 0.547607 (l2_loss: 0.279352), acc: 0.937500, valid_acc: 0.875000
loss: 0.493310 (l2_loss: 0.279057), acc: 0.984375, valid_acc: 0.953125
loss: 0.469050 (l2_loss: 0.278768), acc: 0.968750, valid_acc: 0.968750
loss: 0.429321 (l2_loss: 0.278475), acc: 0.937500, valid_acc: 0.968750
loss: 0.401746 (l2_loss: 0.278175), acc: 0.984375, valid_acc: 0.906250
loss: 0.363148 (l2_loss: 0.277874), acc: 0.937500, valid_acc: 0.921875
loss: 0.347203 (l2_loss: 0.277567), acc: 0.937500, valid_acc: 0.937500
loss: 0.334498 (l2_loss: 0.277249), acc: 0.953125, valid_acc: 0.937500
loss: 0.298875 (l2_loss: 0.276921), acc: 0.968750, valid_acc: 0.921875
loss: 0.028322 (l2_loss: 0.220932), acc: 1.000000, valid_acc: 1.000000
loss: 0.007073 (l2_loss: 0.161662), acc: 1.000000, valid_acc: 1.000000
loss: 0.019469 (l2_loss: 0.118847), acc: 1.000000, valid_acc: 1.000000
loss: 0.016050 (l2_loss: 0.088630), acc: 1.000000, valid_acc: 1.000000
loss: 0.011117 (l2_loss: 0.067450), acc: 1.000000, valid_acc: 1.000000
loss: 0.008396 (l2_loss: 0.053180), acc: 1.000000, valid_acc: 1.000000
loss: 0.022160 (l2_loss: 0.042931), acc: 0.984375, valid_acc: 1.000000
loss: 0.009136 (l2_loss: 0.035636), acc: 1.000000, valid_acc: 1.000000
loss: 0.012725 (l2_loss: 0.030633), acc: 1.000000, valid_acc: 1.000000
loss: 0.004586 (l2_loss: 0.026870), acc: 1.000000, valid_acc: 1.000000
loss: 0.026857 (l2_loss: 0.023989), acc: 0.984375, valid_acc: 0.984375
loss: 0.007130 (l2_loss: 0.022156), acc: 1.000000, valid_acc: 1.000000
loss: 0.023229 (l2_loss: 0.020422), acc: 0.984375, valid_acc: 1.000000
loss: 0.004099 (l2_loss: 0.019396), acc: 1.000000, valid_acc: 1.000000
loss: 0.004241 (l2_loss: 0.018546), acc: 1.000000, valid_acc: 0.984375
loss: 0.002929 (l2_loss: 0.017748), acc: 1.000000, valid_acc: 1.000000
loss: 0.001614 (l2_loss: 0.017205), acc: 1.000000, valid_acc: 1.000000
loss: 0.006534 (l2_loss: 0.016771), acc: 1.000000, valid_acc: 1.000000
loss: 0.007233 (l2_loss: 0.016553), acc: 1.000000, valid_acc: 1.000000
loss: 0.007464 (l2_loss: 0.016386), acc: 1.000000, valid_acc: 1.000000
loss: 0.002428 (l2_loss: 0.016101), acc: 1.000000, valid_acc: 0.984375
loss: 0.000402 (l2_loss: 0.016304), acc: 1.000000, valid_acc: 1.000000
loss: 0.001516 (l2_loss: 0.016035), acc: 1.000000, valid_acc: 1.000000
loss: 0.016474 (l2_loss: 0.015875), acc: 1.000000, valid_acc: 1.000000
loss: 0.010544 (l2_loss: 0.015800), acc: 1.000000, valid_acc: 1.000000
loss: 0.009954 (l2_loss: 0.016028), acc: 1.000000, valid_acc: 1.000000
loss: 0.002682 (l2_loss: 0.015662), acc: 1.000000, valid_acc: 1.000000
loss: 0.009715 (l2_loss: 0.015380), acc: 1.000000, valid_acc: 1.000000
loss: 0.003349 (l2_loss: 0.015642), acc: 1.000000, valid_acc: 1.000000
****************
acc: 0.8878
****************
loss: 0.681775 (l2_loss: 0.278011), acc: 0.578125, valid_acc: 0.937500
loss: 0.629538 (l2_loss: 0.277715), acc: 0.906250, valid_acc: 0.968750
loss: 0.564009 (l2_loss: 0.277416), acc: 1.000000, valid_acc: 0.968750
loss: 0.533287 (l2_loss: 0.277126), acc: 0.968750, valid_acc: 0.984375
loss: 0.485698 (l2_loss: 0.276834), acc: 0.937500, valid_acc: 0.984375
