loss: 1.144665 (l2_loss: 0.006989), valid_loss: 2.257801
loss: 1.966000 (l2_loss: 0.006712), valid_loss: 1.152933
loss: 1.086228 (l2_loss: 0.006532), valid_loss: 1.967011
loss: 1.072294 (l2_loss: 0.006429), valid_loss: 1.427786
loss: 1.340636 (l2_loss: 0.006416), valid_loss: 1.868850
loss: 1.968152 (l2_loss: 0.006494), valid_loss: 1.571144
loss: 1.434734 (l2_loss: 0.006658), valid_loss: 1.470555
loss: 1.259016 (l2_loss: 0.006918), valid_loss: 1.593286
loss: 1.081049 (l2_loss: 0.007276), valid_loss: 1.432306
loss: 1.408967 (l2_loss: 0.007735), valid_loss: 1.470972
loss: 0.050215 (l2_loss: 0.043072), valid_loss: 0.049834
loss: 0.031523 (l2_loss: 0.031403), valid_loss: 0.031523
loss: 0.033239 (l2_loss: 0.029182), valid_loss: 0.032420
loss: 0.026257 (l2_loss: 0.027257), valid_loss: 0.027555
loss: 0.018702 (l2_loss: 0.025848), valid_loss: 0.019539
loss: 0.018047 (l2_loss: 0.024911), valid_loss: 0.020424
loss: 0.029313 (l2_loss: 0.023815), valid_loss: 0.019905
loss: 0.013721 (l2_loss: 0.023052), valid_loss: 0.013767
loss: 0.009867 (l2_loss: 0.021860), valid_loss: 0.015030
loss: 0.014648 (l2_loss: 0.020755), valid_loss: 0.016750
loss: 0.011178 (l2_loss: 0.019667), valid_loss: 0.011518
loss: 0.014021 (l2_loss: 0.018664), valid_loss: 0.023915
loss: 0.015238 (l2_loss: 0.017584), valid_loss: 0.011779
loss: 0.014471 (l2_loss: 0.017401), valid_loss: 0.011683
loss: 0.009940 (l2_loss: 0.016854), valid_loss: 0.019764
loss: 0.011547 (l2_loss: 0.016185), valid_loss: 0.014255
loss: 0.010444 (l2_loss: 0.016064), valid_loss: 0.012250
loss: 0.006174 (l2_loss: 0.015465), valid_loss: 0.018718
loss: 0.009959 (l2_loss: 0.015292), valid_loss: 0.010454
loss: 0.017755 (l2_loss: 0.014943), valid_loss: 0.008420
loss: 0.007917 (l2_loss: 0.014788), valid_loss: 0.009963
loss: 0.011066 (l2_loss: 0.014597), valid_loss: 0.009965
loss: 0.014425 (l2_loss: 0.014451), valid_loss: 0.011221
loss: 0.013646 (l2_loss: 0.014086), valid_loss: 0.012985
loss: 0.014809 (l2_loss: 0.013857), valid_loss: 0.013531
loss: 0.007857 (l2_loss: 0.013935), valid_loss: 0.013345
loss: 0.007982 (l2_loss: 0.013573), valid_loss: 0.018931
loss: 0.013238 (l2_loss: 0.013752), valid_loss: 0.009404
loss: 0.009529 (l2_loss: 0.013395), valid_loss: 0.011497
loss: 2.000860 (l2_loss: 0.006955), valid_loss: 2.386565
loss: 1.045221 (l2_loss: 0.006701), valid_loss: 1.727930
loss: 1.189890 (l2_loss: 0.006530), valid_loss: 1.877137
