loss: 3.348327 (l2_loss: 0.007006), valid_loss: 4.047497
loss: 3.505422 (l2_loss: 0.006856), valid_loss: 2.808998
loss: 2.706428 (l2_loss: 0.006776), valid_loss: 2.728139
loss: 3.552292 (l2_loss: 0.006764), valid_loss: 2.564857
loss: 2.243346 (l2_loss: 0.006820), valid_loss: 2.739269
loss: 3.537571 (l2_loss: 0.006950), valid_loss: 3.080166
loss: 2.239024 (l2_loss: 0.007149), valid_loss: 2.639252
loss: 2.236620 (l2_loss: 0.007426), valid_loss: 2.422778
loss: 2.185070 (l2_loss: 0.007785), valid_loss: 2.517810
loss: 1.668739 (l2_loss: 0.008228), valid_loss: 1.871760
loss: 0.084204 (l2_loss: 0.021939), valid_loss: 0.104069
loss: 0.027344 (l2_loss: 0.030481), valid_loss: 0.021859
loss: 0.023350 (l2_loss: 0.028916), valid_loss: 0.039442
loss: 0.024593 (l2_loss: 0.027651), valid_loss: 0.020465
loss: 0.017123 (l2_loss: 0.026561), valid_loss: 0.015866
loss: 0.018562 (l2_loss: 0.024848), valid_loss: 0.014909
loss: 0.012166 (l2_loss: 0.023969), valid_loss: 0.011248
loss: 0.010144 (l2_loss: 0.022731), valid_loss: 0.009953
loss: 0.012664 (l2_loss: 0.021107), valid_loss: 0.019994
loss: 0.008110 (l2_loss: 0.020700), valid_loss: 0.012596
loss: 0.009008 (l2_loss: 0.020168), valid_loss: 0.011078
loss: 0.010892 (l2_loss: 0.019361), valid_loss: 0.012585
loss: 0.011563 (l2_loss: 0.018592), valid_loss: 0.008204
loss: 0.008064 (l2_loss: 0.018840), valid_loss: 0.015546
loss: 0.006746 (l2_loss: 0.017849), valid_loss: 0.009330
loss: 0.006791 (l2_loss: 0.017617), valid_loss: 0.006718
loss: 0.010450 (l2_loss: 0.017123), valid_loss: 0.014392
loss: 0.006903 (l2_loss: 0.016648), valid_loss: 0.011756
loss: 0.007738 (l2_loss: 0.016761), valid_loss: 0.009171
loss: 0.011731 (l2_loss: 0.016167), valid_loss: 0.012393
loss: 0.010858 (l2_loss: 0.016046), valid_loss: 0.005747
loss: 0.011665 (l2_loss: 0.015671), valid_loss: 0.006610
loss: 0.007041 (l2_loss: 0.015349), valid_loss: 0.009318
loss: 0.008923 (l2_loss: 0.015123), valid_loss: 0.008269
loss: 0.008798 (l2_loss: 0.015076), valid_loss: 0.010061
loss: 0.006110 (l2_loss: 0.015045), valid_loss: 0.016099
loss: 0.012010 (l2_loss: 0.014992), valid_loss: 0.010603
loss: 0.011310 (l2_loss: 0.014870), valid_loss: 0.005980
loss: 0.012620 (l2_loss: 0.014721), valid_loss: 0.009268
loss: 3.217868 (l2_loss: 0.007054), valid_loss: 4.044354
loss: 4.388849 (l2_loss: 0.006947), valid_loss: 4.193711
loss: 3.771676 (l2_loss: 0.006923), valid_loss: 3.029569
loss: 3.235016 (l2_loss: 0.006976), valid_loss: 2.966341
loss: 2.758546 (l2_loss: 0.007105), valid_loss: 3.018631
loss: 2.699138 (l2_loss: 0.007313), valid_loss: 2.442664
loss: 2.221313 (l2_loss: 0.007603), valid_loss: 2.171094
loss: 2.441246 (l2_loss: 0.007977), valid_loss: 1.622534
loss: 3.042833 (l2_loss: 0.008438), valid_loss: 1.523836
loss: 1.788712 (l2_loss: 0.008977), valid_loss: 1.997412
loss: 0.176474 (l2_loss: 0.022717), valid_loss: 0.102422
loss: 0.032035 (l2_loss: 0.029119), valid_loss: 0.039035
loss: 0.021723 (l2_loss: 0.026625), valid_loss: 0.025353
loss: 0.025716 (l2_loss: 0.024890), valid_loss: 0.013682
loss: 0.010540 (l2_loss: 0.024068), valid_loss: 0.008989
loss: 0.014655 (l2_loss: 0.022890), valid_loss: 0.020325
loss: 0.013564 (l2_loss: 0.022482), valid_loss: 0.011923
loss: 0.011589 (l2_loss: 0.020863), valid_loss: 0.008530
loss: 0.013767 (l2_loss: 0.020256), valid_loss: 0.006954
loss: 0.006886 (l2_loss: 0.019403), valid_loss: 0.011007
loss: 0.014748 (l2_loss: 0.018532), valid_loss: 0.012338
loss: 0.009985 (l2_loss: 0.018774), valid_loss: 0.009231
loss: 0.011779 (l2_loss: 0.018091), valid_loss: 0.010947
loss: 0.011243 (l2_loss: 0.017310), valid_loss: 0.007010
loss: 0.018515 (l2_loss: 0.017083), valid_loss: 0.008784
loss: 0.006237 (l2_loss: 0.016669), valid_loss: 0.006347
loss: 0.007523 (l2_loss: 0.016273), valid_loss: 0.010358
loss: 0.007171 (l2_loss: 0.016234), valid_loss: 0.006058
loss: 0.011304 (l2_loss: 0.016097), valid_loss: 0.008767
loss: 0.010686 (l2_loss: 0.015965), valid_loss: 0.008476
loss: 0.011991 (l2_loss: 0.015516), valid_loss: 0.013682
loss: 0.007536 (l2_loss: 0.015663), valid_loss: 0.007249
loss: 0.011818 (l2_loss: 0.015229), valid_loss: 0.009536
loss: 0.009729 (l2_loss: 0.015165), valid_loss: 0.007807
loss: 0.007915 (l2_loss: 0.014844), valid_loss: 0.006037
loss: 0.010466 (l2_loss: 0.014895), valid_loss: 0.007940
loss: 0.005944 (l2_loss: 0.014753), valid_loss: 0.009135
loss: 0.008717 (l2_loss: 0.014737), valid_loss: 0.011129
