****************
acc: 0.9086
****************
loss: 0.784749 (l2_loss: 0.280291), acc: 0.125000, valid_acc: 0.343750
loss: 0.712528 (l2_loss: 0.280005), acc: 0.359375, valid_acc: 0.718750
loss: 0.652011 (l2_loss: 0.279718), acc: 0.750000, valid_acc: 0.859375
loss: 0.610959 (l2_loss: 0.279426), acc: 0.859375, valid_acc: 0.953125
loss: 0.550965 (l2_loss: 0.279134), acc: 0.921875, valid_acc: 0.843750
loss: 0.530391 (l2_loss: 0.278846), acc: 0.921875, valid_acc: 0.921875
loss: 0.497404 (l2_loss: 0.278553), acc: 0.906250, valid_acc: 0.937500
loss: 0.470370 (l2_loss: 0.278251), acc: 0.937500, valid_acc: 0.937500
loss: 0.408083 (l2_loss: 0.277943), acc: 0.953125, valid_acc: 0.921875
loss: 0.404876 (l2_loss: 0.277635), acc: 0.953125, valid_acc: 0.953125
loss: 0.047465 (l2_loss: 0.227872), acc: 0.984375, valid_acc: 1.000000
loss: 0.005125 (l2_loss: 0.170666), acc: 1.000000, valid_acc: 1.000000
loss: 0.020070 (l2_loss: 0.127662), acc: 1.000000, valid_acc: 1.000000
loss: 0.014702 (l2_loss: 0.096428), acc: 1.000000, valid_acc: 1.000000
loss: 0.005906 (l2_loss: 0.074086), acc: 1.000000, valid_acc: 1.000000
loss: 0.021763 (l2_loss: 0.058554), acc: 0.984375, valid_acc: 1.000000
loss: 0.014725 (l2_loss: 0.047295), acc: 0.984375, valid_acc: 0.984375
loss: 0.003438 (l2_loss: 0.038871), acc: 1.000000, valid_acc: 1.000000
loss: 0.006401 (l2_loss: 0.032933), acc: 1.000000, valid_acc: 1.000000
loss: 0.003500 (l2_loss: 0.028425), acc: 1.000000, valid_acc: 1.000000
loss: 0.002638 (l2_loss: 0.025328), acc: 1.000000, valid_acc: 1.000000
loss: 0.003234 (l2_loss: 0.022791), acc: 1.000000, valid_acc: 1.000000
loss: 0.001703 (l2_loss: 0.020771), acc: 1.000000, valid_acc: 1.000000
loss: 0.001409 (l2_loss: 0.019081), acc: 1.000000, valid_acc: 1.000000
loss: 0.014325 (l2_loss: 0.018151), acc: 0.984375, valid_acc: 1.000000
loss: 0.003998 (l2_loss: 0.017110), acc: 1.000000, valid_acc: 0.984375
loss: 0.007910 (l2_loss: 0.016242), acc: 1.000000, valid_acc: 1.000000
loss: 0.003922 (l2_loss: 0.015996), acc: 1.000000, valid_acc: 1.000000
loss: 0.001448 (l2_loss: 0.015574), acc: 1.000000, valid_acc: 1.000000
loss: 0.011235 (l2_loss: 0.015103), acc: 1.000000, valid_acc: 1.000000
loss: 0.004096 (l2_loss: 0.014661), acc: 1.000000, valid_acc: 1.000000
loss: 0.001375 (l2_loss: 0.014379), acc: 1.000000, valid_acc: 1.000000
loss: 0.009613 (l2_loss: 0.014094), acc: 1.000000, valid_acc: 1.000000
loss: 0.008100 (l2_loss: 0.014036), acc: 1.000000, valid_acc: 1.000000
loss: 0.007699 (l2_loss: 0.013814), acc: 1.000000, valid_acc: 1.000000
loss: 0.001396 (l2_loss: 0.014165), acc: 1.000000, valid_acc: 1.000000
loss: 0.004668 (l2_loss: 0.013659), acc: 1.000000, valid_acc: 1.000000
loss: 0.005040 (l2_loss: 0.013516), acc: 1.000000, valid_acc: 1.000000
loss: 0.001722 (l2_loss: 0.013604), acc: 1.000000, valid_acc: 1.000000
****************
acc: 0.9086
****************
