****************
acc: 0.8198
****************
loss: 0.710651 (l2_loss: 0.273442), acc: 0.375000, valid_acc: 0.468750
loss: 0.683630 (l2_loss: 0.272681), acc: 0.578125, valid_acc: 0.625000
loss: 0.667831 (l2_loss: 0.271934), acc: 0.687500, valid_acc: 0.875000
loss: 0.659093 (l2_loss: 0.271206), acc: 0.812500, valid_acc: 0.828125
loss: 0.630897 (l2_loss: 0.270494), acc: 0.781250, valid_acc: 0.859375
loss: 0.617514 (l2_loss: 0.269775), acc: 0.890625, valid_acc: 0.906250
loss: 0.597130 (l2_loss: 0.269062), acc: 0.890625, valid_acc: 0.890625
loss: 0.576006 (l2_loss: 0.268358), acc: 0.890625, valid_acc: 0.953125
loss: 0.567218 (l2_loss: 0.267662), acc: 0.875000, valid_acc: 0.921875
loss: 0.544399 (l2_loss: 0.266969), acc: 0.921875, valid_acc: 0.953125
loss: 0.179091 (l2_loss: 0.209441), acc: 0.921875, valid_acc: 0.984375
loss: 0.062289 (l2_loss: 0.158710), acc: 1.000000, valid_acc: 0.968750
loss: 0.064569 (l2_loss: 0.123671), acc: 0.984375, valid_acc: 0.968750
loss: 0.116858 (l2_loss: 0.099075), acc: 0.968750, valid_acc: 0.968750
loss: 0.027855 (l2_loss: 0.081656), acc: 1.000000, valid_acc: 1.000000
loss: 0.026498 (l2_loss: 0.068865), acc: 1.000000, valid_acc: 1.000000
loss: 0.032329 (l2_loss: 0.060135), acc: 1.000000, valid_acc: 0.953125
loss: 0.025999 (l2_loss: 0.053668), acc: 0.984375, valid_acc: 0.984375
loss: 0.046575 (l2_loss: 0.048607), acc: 1.000000, valid_acc: 1.000000
loss: 0.028425 (l2_loss: 0.044631), acc: 1.000000, valid_acc: 0.968750
loss: 0.030236 (l2_loss: 0.041824), acc: 1.000000, valid_acc: 1.000000
loss: 0.022654 (l2_loss: 0.040298), acc: 1.000000, valid_acc: 0.984375
loss: 0.026670 (l2_loss: 0.038164), acc: 1.000000, valid_acc: 0.984375
loss: 0.036608 (l2_loss: 0.037024), acc: 0.984375, valid_acc: 0.984375
loss: 0.011478 (l2_loss: 0.035880), acc: 1.000000, valid_acc: 0.984375
loss: 0.030559 (l2_loss: 0.035510), acc: 0.984375, valid_acc: 0.968750
loss: 0.036940 (l2_loss: 0.034552), acc: 0.984375, valid_acc: 1.000000
