loss: 4.720828 (l2_loss: 0.006835), valid_loss: 4.583864
loss: 4.397265 (l2_loss: 0.006473), valid_loss: 4.439219
loss: 4.776719 (l2_loss: 0.006236), valid_loss: 5.681265
loss: 5.815655 (l2_loss: 0.006089), valid_loss: 3.558880
loss: 4.452599 (l2_loss: 0.006029), valid_loss: 4.121491
loss: 4.351108 (l2_loss: 0.006060), valid_loss: 4.595074
loss: 4.167724 (l2_loss: 0.006182), valid_loss: 3.835676
loss: 3.908362 (l2_loss: 0.006396), valid_loss: 3.362990
loss: 3.875694 (l2_loss: 0.006702), valid_loss: 3.257735
loss: 4.105851 (l2_loss: 0.007101), valid_loss: 3.044637
loss: 0.212298 (l2_loss: 0.025642), valid_loss: 0.329025
loss: 0.058661 (l2_loss: 0.038839), valid_loss: 0.084219
loss: 0.064003 (l2_loss: 0.034761), valid_loss: 0.085777
loss: 0.073302 (l2_loss: 0.029112), valid_loss: 0.085184
loss: 0.035177 (l2_loss: 0.026358), valid_loss: 0.052757
loss: 0.060232 (l2_loss: 0.022853), valid_loss: 0.081643
loss: 0.095091 (l2_loss: 0.021517), valid_loss: 0.090665
loss: 0.078474 (l2_loss: 0.019538), valid_loss: 0.100404
loss: 0.069821 (l2_loss: 0.019631), valid_loss: 0.090738
loss: 0.046431 (l2_loss: 0.019206), valid_loss: 0.069812
loss: 0.055676 (l2_loss: 0.018158), valid_loss: 0.042566
loss: 0.078420 (l2_loss: 0.018220), valid_loss: 0.066068
loss: 0.033342 (l2_loss: 0.017401), valid_loss: 0.040978
loss: 0.053594 (l2_loss: 0.017565), valid_loss: 0.047246
loss: 0.060329 (l2_loss: 0.017355), valid_loss: 0.080032
loss: 0.076578 (l2_loss: 0.016987), valid_loss: 0.071482
loss: 0.046465 (l2_loss: 0.017581), valid_loss: 0.075509
loss: 0.074534 (l2_loss: 0.017086), valid_loss: 0.049547
loss: 0.054002 (l2_loss: 0.016522), valid_loss: 0.042587
loss: 0.083945 (l2_loss: 0.016598), valid_loss: 0.065804
loss: 0.053210 (l2_loss: 0.016476), valid_loss: 0.039835
loss: 0.101278 (l2_loss: 0.016527), valid_loss: 0.056731
loss: 0.036489 (l2_loss: 0.016643), valid_loss: 0.051464
loss: 0.052345 (l2_loss: 0.016245), valid_loss: 0.045237
loss: 0.039783 (l2_loss: 0.015836), valid_loss: 0.086182
loss: 0.040922 (l2_loss: 0.016003), valid_loss: 0.041145
loss: 0.049837 (l2_loss: 0.016073), valid_loss: 0.051228
loss: 0.039203 (l2_loss: 0.015871), valid_loss: 0.055829
loss: 0.050211 (l2_loss: 0.015757), valid_loss: 0.072606
loss: 5.101129 (l2_loss: 0.006811), valid_loss: 4.505865
loss: 5.125715 (l2_loss: 0.006466), valid_loss: 5.693661
loss: 4.668821 (l2_loss: 0.006254), valid_loss: 4.145362
loss: 4.395161 (l2_loss: 0.006126), valid_loss: 4.353107
loss: 4.432593 (l2_loss: 0.006081), valid_loss: 3.181236
loss: 4.157613 (l2_loss: 0.006118), valid_loss: 3.537796
loss: 4.279865 (l2_loss: 0.006242), valid_loss: 3.930471
loss: 3.963279 (l2_loss: 0.006452), valid_loss: 3.487101
loss: 4.937834 (l2_loss: 0.006751), valid_loss: 3.622240
loss: 3.638277 (l2_loss: 0.007128), valid_loss: 3.454367
loss: 0.299462 (l2_loss: 0.026938), valid_loss: 0.302654
loss: 0.160567 (l2_loss: 0.038386), valid_loss: 0.070827
loss: 0.100446 (l2_loss: 0.033323), valid_loss: 0.052046
loss: 0.094622 (l2_loss: 0.028471), valid_loss: 0.060218
loss: 0.065051 (l2_loss: 0.025546), valid_loss: 0.049351
loss: 0.092734 (l2_loss: 0.023507), valid_loss: 0.067871
loss: 0.063113 (l2_loss: 0.021245), valid_loss: 0.080620
loss: 0.064070 (l2_loss: 0.020480), valid_loss: 0.048715
loss: 0.061676 (l2_loss: 0.019934), valid_loss: 0.057339
loss: 0.067859 (l2_loss: 0.018478), valid_loss: 0.041835
loss: 0.102556 (l2_loss: 0.018238), valid_loss: 0.044917
loss: 0.067038 (l2_loss: 0.018150), valid_loss: 0.041040
loss: 0.076318 (l2_loss: 0.017269), valid_loss: 0.053396
loss: 0.057166 (l2_loss: 0.016928), valid_loss: 0.045146
loss: 0.043048 (l2_loss: 0.016995), valid_loss: 0.053690
loss: 0.065892 (l2_loss: 0.016779), valid_loss: 0.057979
loss: 0.043999 (l2_loss: 0.016472), valid_loss: 0.057593
loss: 0.046045 (l2_loss: 0.016442), valid_loss: 0.056059
loss: 0.045316 (l2_loss: 0.016265), valid_loss: 0.042159
loss: 0.041418 (l2_loss: 0.015828), valid_loss: 0.059299
loss: 0.074344 (l2_loss: 0.016435), valid_loss: 0.072129
loss: 0.048353 (l2_loss: 0.016053), valid_loss: 0.050249
loss: 0.051048 (l2_loss: 0.015862), valid_loss: 0.050369
loss: 0.055476 (l2_loss: 0.016141), valid_loss: 0.043550
loss: 0.073123 (l2_loss: 0.016053), valid_loss: 0.044171
loss: 0.025442 (l2_loss: 0.015570), valid_loss: 0.039641
loss: 0.052349 (l2_loss: 0.015276), valid_loss: 0.055632
loss: 0.052686 (l2_loss: 0.015595), valid_loss: 0.038187
loss: 0.048521 (l2_loss: 0.015804), valid_loss: 0.073899
loss: 4.468085 (l2_loss: 0.006896), valid_loss: 4.960336
loss: 5.076622 (l2_loss: 0.006549), valid_loss: 5.225339
loss: 4.421857 (l2_loss: 0.006336), valid_loss: 5.649817
loss: 4.311626 (l2_loss: 0.006209), valid_loss: 3.220559
loss: 5.371280 (l2_loss: 0.006167), valid_loss: 4.418422
loss: 4.639210 (l2_loss: 0.006207), valid_loss: 4.245831
loss: 4.991179 (l2_loss: 0.006337), valid_loss: 3.224495
loss: 4.187110 (l2_loss: 0.006555), valid_loss: 4.758006
loss: 3.358049 (l2_loss: 0.006868), valid_loss: 3.638514
loss: 3.558089 (l2_loss: 0.007279), valid_loss: 2.621570
loss: 0.284319 (l2_loss: 0.027144), valid_loss: 0.217455
loss: 0.090249 (l2_loss: 0.037329), valid_loss: 0.137170
loss: 0.088234 (l2_loss: 0.033088), valid_loss: 0.057306
loss: 0.098902 (l2_loss: 0.027432), valid_loss: 0.049846
loss: 0.056968 (l2_loss: 0.024923), valid_loss: 0.077040
loss: 0.088627 (l2_loss: 0.022040), valid_loss: 0.039638
loss: 0.058190 (l2_loss: 0.020567), valid_loss: 0.053754
loss: 0.070285 (l2_loss: 0.019732), valid_loss: 0.033848
loss: 0.052413 (l2_loss: 0.018145), valid_loss: 0.083954
loss: 0.074668 (l2_loss: 0.017821), valid_loss: 0.044796
loss: 0.078130 (l2_loss: 0.017239), valid_loss: 0.042421
loss: 0.073161 (l2_loss: 0.017114), valid_loss: 0.063772
loss: 0.078800 (l2_loss: 0.016527), valid_loss: 0.054608
loss: 0.039708 (l2_loss: 0.017082), valid_loss: 0.061339
loss: 0.085150 (l2_loss: 0.016425), valid_loss: 0.034180
loss: 0.042166 (l2_loss: 0.016034), valid_loss: 0.088079
loss: 0.044597 (l2_loss: 0.015950), valid_loss: 0.052596
loss: 0.056210 (l2_loss: 0.016011), valid_loss: 0.040677
loss: 0.054319 (l2_loss: 0.016033), valid_loss: 0.031024
loss: 0.051490 (l2_loss: 0.015695), valid_loss: 0.072521
loss: 0.060047 (l2_loss: 0.015507), valid_loss: 0.028991
loss: 0.045096 (l2_loss: 0.015451), valid_loss: 0.046071
loss: 0.053178 (l2_loss: 0.015134), valid_loss: 0.072797
loss: 0.066053 (l2_loss: 0.015044), valid_loss: 0.055823
loss: 0.067679 (l2_loss: 0.014737), valid_loss: 0.085286
loss: 0.042971 (l2_loss: 0.015390), valid_loss: 0.041146
loss: 0.065371 (l2_loss: 0.015174), valid_loss: 0.061676
loss: 0.055839 (l2_loss: 0.015066), valid_loss: 0.045361
loss: 0.062977 (l2_loss: 0.015221), valid_loss: 0.053140
[[1.         0.86824014]
 [0.86824014 1.        ]]
0.8682401370097294
