****************
acc: 0.8364
****************
loss: 0.666996 (l2_loss: 0.274223), acc: 0.812500, valid_acc: 0.796875
loss: 0.643769 (l2_loss: 0.273566), acc: 0.843750, valid_acc: 0.828125
loss: 0.634008 (l2_loss: 0.272903), acc: 0.812500, valid_acc: 0.937500
loss: 0.600005 (l2_loss: 0.272213), acc: 0.812500, valid_acc: 0.906250
loss: 0.575911 (l2_loss: 0.271533), acc: 0.859375, valid_acc: 0.875000
loss: 0.549912 (l2_loss: 0.270855), acc: 0.890625, valid_acc: 0.937500
loss: 0.519910 (l2_loss: 0.270180), acc: 0.937500, valid_acc: 0.843750
loss: 0.500102 (l2_loss: 0.269507), acc: 0.890625, valid_acc: 0.921875
loss: 0.526117 (l2_loss: 0.268841), acc: 0.890625, valid_acc: 0.937500
loss: 0.512711 (l2_loss: 0.268168), acc: 0.796875, valid_acc: 0.843750
loss: 0.116970 (l2_loss: 0.209888), acc: 0.953125, valid_acc: 0.968750
loss: 0.042089 (l2_loss: 0.160521), acc: 1.000000, valid_acc: 0.984375
loss: 0.026796 (l2_loss: 0.125606), acc: 1.000000, valid_acc: 0.968750
loss: 0.051889 (l2_loss: 0.101523), acc: 0.984375, valid_acc: 0.968750
loss: 0.043402 (l2_loss: 0.084601), acc: 1.000000, valid_acc: 1.000000
loss: 0.051113 (l2_loss: 0.072245), acc: 0.984375, valid_acc: 0.984375
loss: 0.015121 (l2_loss: 0.063622), acc: 1.000000, valid_acc: 0.968750
loss: 0.032637 (l2_loss: 0.057362), acc: 1.000000, valid_acc: 1.000000
loss: 0.054100 (l2_loss: 0.052312), acc: 0.984375, valid_acc: 0.984375
loss: 0.032552 (l2_loss: 0.048470), acc: 0.984375, valid_acc: 0.968750
loss: 0.040404 (l2_loss: 0.046250), acc: 0.984375, valid_acc: 1.000000
loss: 0.068681 (l2_loss: 0.043520), acc: 0.968750, valid_acc: 0.968750
loss: 0.028047 (l2_loss: 0.041981), acc: 1.000000, valid_acc: 0.984375
loss: 0.035054 (l2_loss: 0.040572), acc: 0.984375, valid_acc: 1.000000
loss: 0.025068 (l2_loss: 0.039621), acc: 1.000000, valid_acc: 1.000000
loss: 0.063596 (l2_loss: 0.038757), acc: 0.953125, valid_acc: 1.000000
loss: 0.018566 (l2_loss: 0.037973), acc: 1.000000, valid_acc: 0.968750
loss: 0.070541 (l2_loss: 0.037319), acc: 0.984375, valid_acc: 1.000000
loss: 0.013880 (l2_loss: 0.036702), acc: 1.000000, valid_acc: 1.000000
loss: 0.007297 (l2_loss: 0.036436), acc: 1.000000, valid_acc: 0.953125
loss: 0.023717 (l2_loss: 0.036016), acc: 0.984375, valid_acc: 1.000000
loss: 0.022590 (l2_loss: 0.035708), acc: 1.000000, valid_acc: 0.968750
loss: 0.033145 (l2_loss: 0.035293), acc: 0.984375, valid_acc: 0.968750
loss: 0.020464 (l2_loss: 0.035182), acc: 1.000000, valid_acc: 1.000000
loss: 0.005599 (l2_loss: 0.035469), acc: 1.000000, valid_acc: 0.984375
loss: 0.025048 (l2_loss: 0.034973), acc: 1.000000, valid_acc: 0.953125
loss: 0.026953 (l2_loss: 0.034810), acc: 0.984375, valid_acc: 0.968750
loss: 0.028134 (l2_loss: 0.034466), acc: 1.000000, valid_acc: 0.968750
loss: 0.024460 (l2_loss: 0.034927), acc: 0.984375, valid_acc: 0.984375
****************
acc: 0.8364
****************
loss: 0.702951 (l2_loss: 0.275857), acc: 0.406250, valid_acc: 0.546875
loss: 0.676843 (l2_loss: 0.275236), acc: 0.625000, valid_acc: 0.656250
loss: 0.664461 (l2_loss: 0.274611), acc: 0.671875, valid_acc: 0.859375
loss: 0.629872 (l2_loss: 0.273957), acc: 0.718750, valid_acc: 0.828125
