loss: 4.011435 (l2_loss: 0.006840), valid_loss: 4.308374
loss: 4.590022 (l2_loss: 0.006463), valid_loss: 3.022874
loss: 4.058149 (l2_loss: 0.006199), valid_loss: 3.837908
loss: 5.703413 (l2_loss: 0.006017), valid_loss: 4.117759
loss: 3.716937 (l2_loss: 0.005914), valid_loss: 3.677544
loss: 3.753266 (l2_loss: 0.005893), valid_loss: 3.584774
loss: 3.210114 (l2_loss: 0.005956), valid_loss: 2.371397
loss: 3.008489 (l2_loss: 0.006103), valid_loss: 2.821616
loss: 2.973368 (l2_loss: 0.006336), valid_loss: 2.653234
loss: 3.284548 (l2_loss: 0.006654), valid_loss: 2.501342
loss: 0.275642 (l2_loss: 0.028195), valid_loss: 0.218970
loss: 0.107512 (l2_loss: 0.038634), valid_loss: 0.113580
loss: 0.076668 (l2_loss: 0.034115), valid_loss: 0.044540
loss: 0.071073 (l2_loss: 0.028707), valid_loss: 0.056556
loss: 0.092745 (l2_loss: 0.027728), valid_loss: 0.083806
loss: 0.100086 (l2_loss: 0.025274), valid_loss: 0.050470
loss: 0.061066 (l2_loss: 0.024844), valid_loss: 0.108302
loss: 0.098403 (l2_loss: 0.023331), valid_loss: 0.086889
loss: 0.042580 (l2_loss: 0.022577), valid_loss: 0.055825
loss: 0.061375 (l2_loss: 0.022096), valid_loss: 0.044940
loss: 0.107836 (l2_loss: 0.020806), valid_loss: 0.047572
loss: 0.066292 (l2_loss: 0.021194), valid_loss: 0.059451
loss: 0.083895 (l2_loss: 0.020991), valid_loss: 0.076325
loss: 0.053434 (l2_loss: 0.020809), valid_loss: 0.072764
loss: 0.073217 (l2_loss: 0.021257), valid_loss: 0.096430
loss: 0.040698 (l2_loss: 0.020038), valid_loss: 0.058107
loss: 0.103666 (l2_loss: 0.019327), valid_loss: 0.073051
loss: 0.039746 (l2_loss: 0.020046), valid_loss: 0.059768
loss: 0.067110 (l2_loss: 0.020249), valid_loss: 0.066833
loss: 0.109934 (l2_loss: 0.019690), valid_loss: 0.049523
loss: 0.059590 (l2_loss: 0.018975), valid_loss: 0.080875
loss: 0.064385 (l2_loss: 0.019462), valid_loss: 0.066465
loss: 0.051521 (l2_loss: 0.018897), valid_loss: 0.052565
loss: 0.037695 (l2_loss: 0.018944), valid_loss: 0.069317
loss: 0.087565 (l2_loss: 0.018418), valid_loss: 0.066082
loss: 0.080346 (l2_loss: 0.018927), valid_loss: 0.035334
loss: 0.092734 (l2_loss: 0.018519), valid_loss: 0.042163
loss: 0.059042 (l2_loss: 0.017945), valid_loss: 0.088848
loss: 0.067190 (l2_loss: 0.018535), valid_loss: 0.063758
loss: 4.024499 (l2_loss: 0.006949), valid_loss: 3.465148
loss: 3.060228 (l2_loss: 0.006615), valid_loss: 4.109573
loss: 4.406286 (l2_loss: 0.006389), valid_loss: 4.588287
loss: 2.832494 (l2_loss: 0.006258), valid_loss: 4.593775
loss: 3.604794 (l2_loss: 0.006211), valid_loss: 3.345620
loss: 3.002743 (l2_loss: 0.006252), valid_loss: 3.179804
loss: 3.282172 (l2_loss: 0.006382), valid_loss: 3.347153
loss: 4.086440 (l2_loss: 0.006599), valid_loss: 2.947810
loss: 2.264332 (l2_loss: 0.006895), valid_loss: 2.198634
loss: 2.872421 (l2_loss: 0.007289), valid_loss: 2.734078
loss: 0.196028 (l2_loss: 0.030110), valid_loss: 0.223441
loss: 0.099601 (l2_loss: 0.039607), valid_loss: 0.069514
loss: 0.081980 (l2_loss: 0.034295), valid_loss: 0.099513
loss: 0.048688 (l2_loss: 0.029384), valid_loss: 0.072355
loss: 0.074927 (l2_loss: 0.026439), valid_loss: 0.069796
loss: 0.063658 (l2_loss: 0.024679), valid_loss: 0.041327
loss: 0.051009 (l2_loss: 0.022122), valid_loss: 0.056375
loss: 0.079970 (l2_loss: 0.021644), valid_loss: 0.086811
loss: 0.072090 (l2_loss: 0.021167), valid_loss: 0.085208
loss: 0.079392 (l2_loss: 0.020898), valid_loss: 0.077190
loss: 0.136785 (l2_loss: 0.019377), valid_loss: 0.073648
loss: 0.059478 (l2_loss: 0.019335), valid_loss: 0.068276
loss: 0.068945 (l2_loss: 0.019743), valid_loss: 0.060661
loss: 0.080545 (l2_loss: 0.019121), valid_loss: 0.049022
loss: 0.045898 (l2_loss: 0.019115), valid_loss: 0.060760
loss: 0.045828 (l2_loss: 0.018502), valid_loss: 0.062756
loss: 0.058739 (l2_loss: 0.017546), valid_loss: 0.055453
loss: 0.071868 (l2_loss: 0.017565), valid_loss: 0.073261
loss: 0.061219 (l2_loss: 0.017385), valid_loss: 0.065703
loss: 0.032610 (l2_loss: 0.017514), valid_loss: 0.054629
loss: 0.055156 (l2_loss: 0.017100), valid_loss: 0.080047
loss: 0.050602 (l2_loss: 0.017117), valid_loss: 0.056510
loss: 0.051223 (l2_loss: 0.017379), valid_loss: 0.076876
loss: 0.073514 (l2_loss: 0.016910), valid_loss: 0.061750
loss: 0.123765 (l2_loss: 0.017702), valid_loss: 0.095556
loss: 0.045601 (l2_loss: 0.016899), valid_loss: 0.041447
loss: 0.050632 (l2_loss: 0.016931), valid_loss: 0.071102
loss: 0.065591 (l2_loss: 0.016564), valid_loss: 0.077724
loss: 0.059719 (l2_loss: 0.017035), valid_loss: 0.073247
loss: 2.910013 (l2_loss: 0.006872), valid_loss: 4.170318
loss: 3.645196 (l2_loss: 0.006516), valid_loss: 4.311463
loss: 4.080338 (l2_loss: 0.006267), valid_loss: 3.138844
loss: 3.269885 (l2_loss: 0.006098), valid_loss: 3.772690
loss: 3.814342 (l2_loss: 0.006010), valid_loss: 3.387793
loss: 2.565291 (l2_loss: 0.006001), valid_loss: 3.363209
loss: 3.147359 (l2_loss: 0.006078), valid_loss: 3.411209
loss: 4.122827 (l2_loss: 0.006238), valid_loss: 2.765097
loss: 3.029614 (l2_loss: 0.006474), valid_loss: 1.908180
loss: 3.085046 (l2_loss: 0.006801), valid_loss: 1.926642
loss: 0.237628 (l2_loss: 0.028384), valid_loss: 0.115620
loss: 0.120081 (l2_loss: 0.039097), valid_loss: 0.095898
loss: 0.059596 (l2_loss: 0.033922), valid_loss: 0.093370
loss: 0.081630 (l2_loss: 0.030805), valid_loss: 0.088857
loss: 0.061631 (l2_loss: 0.026359), valid_loss: 0.058290
loss: 0.049820 (l2_loss: 0.025601), valid_loss: 0.068683
loss: 0.071604 (l2_loss: 0.024844), valid_loss: 0.037064
loss: 0.072605 (l2_loss: 0.023467), valid_loss: 0.043560
loss: 0.080159 (l2_loss: 0.023034), valid_loss: 0.075003
